Plot Title: cedar_light_pendant,,,,
#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 20733886, SEN S/N: 20733886)","Intensity, Lux (LGR S/N: 20733886, SEN S/N: 20733886)",End Of File (LGR S/N: 20733886)
583,8/11/2020 0:00,23.869,0,
584,8/11/2020 1:00,23.677,0,
585,8/11/2020 2:00,23.484,0,
586,8/11/2020 3:00,23.388,0,
587,8/11/2020 4:00,23.196,0,
588,8/11/2020 5:00,23.1,0,
589,8/11/2020 6:00,22.908,0,
590,8/11/2020 7:00,22.812,1087.2,
591,8/11/2020 8:00,23.1,11711.2,
592,8/11/2020 9:00,23.484,4133.4,
593,8/11/2020 10:00,24.062,38578,
594,8/11/2020 11:00,24.448,31689.1,
595,8/11/2020 12:00,25.125,26178,
596,8/11/2020 13:00,25.61,19977.9,
597,8/11/2020 14:00,25.708,39955.8,
598,8/11/2020 15:00,25.61,41333.6,
599,8/11/2020 16:00,25.805,38578,
600,8/11/2020 17:00,25.513,5511.1,
601,8/11/2020 18:00,24.738,10333.4,
602,8/11/2020 19:00,24.641,2497.2,
603,8/11/2020 20:00,24.351,505.9,
604,8/11/2020 21:00,24.351,0,
605,8/11/2020 22:00,24.255,0,
606,8/11/2020 23:00,24.062,0,
607,8/12/2020 0:00,23.869,0,
608,8/12/2020 1:00,23.677,0,
609,8/12/2020 2:00,23.581,0,
610,8/12/2020 3:00,23.388,0,
611,8/12/2020 4:00,23.196,0,
612,8/12/2020 5:00,23.004,0,
613,8/12/2020 6:00,22.812,0,
614,8/12/2020 7:00,22.812,893.4,
615,8/12/2020 8:00,23.004,5166.7,
616,8/12/2020 9:00,23.484,15844.5,
617,8/12/2020 10:00,23.869,23422.4,
618,8/12/2020 11:00,24.351,26178,
619,8/12/2020 12:00,24.931,44089.2,
