lake,date,temp_03.8,temp_04.6,temp_08.4,temp_13.4,temp_18.4,temp_23.3,temp_24.3,temp_sediment,do_mg_l,do_sat,light_3.8,cond_24.3,level_4.6
cliff,2019-10-04,13.332791666666667,12.766625,12.835208333333334,8.483333333333333,6.1001666666666665,5.155541666666666,4.662916666666667,5.024,0.08720833333333333,0.8500467083333333,2296.7666666666664,16.2375,119.64795833333334
cliff,2019-10-05,13.164125,12.56575,12.606125,8.506,6.10125,5.166791666666667,4.671250000000001,5.024,0.08704166666666666,0.8486701666666666,2116.916666666667,16.3,119.90920833333334
cliff,2019-10-06,13.047541666666667,12.416875,12.48125,8.513416666666666,6.103375,5.171333333333333,4.685833333333333,5.024,0.087125,0.8495805416666666,1965.7708333333335,16.283333333333335,119.87304166666667
cliff,2019-10-07,13.007375,12.396791666666667,12.449,8.544458333333333,6.1342083333333335,5.172583333333333,4.68375,5.02725,0.08704166666666666,0.8487952916666667,2148.3083333333334,16.35,119.62304166666667
cliff,2019-10-08,12.919083333333333,12.380708333333333,12.455,8.561041666666666,6.151208333333334,5.179583333333333,4.693333333333333,5.046749999999999,0.08708333333333333,0.8493563333333334,2086.8624999999997,16.45,119.18125
cliff,2019-10-09,12.661916666666666,12.097875,12.180875,8.584833333333334,6.165916666666667,5.180458333333333,4.68625,5.05,0.08704166666666666,0.8489672083333334,2362.2333333333336,16.683333333333334,119.31366666666666
cliff,2019-10-10,12.311208333333333,11.734125,11.798,8.59925,6.145791666666667,5.193833333333333,4.706666666666667,5.05,0.08704166666666666,0.849265875,1977.4291666666666,16.53333333333333,119.63791666666667
cliff,2019-10-11,12.048791666666666,11.471416666666666,11.542375,8.634541666666667,6.154375,5.1879583333333334,4.702500000000001,5.05,0.087375,0.8523845833333333,1859.025,16.4,119.44195833333333
cliff,2019-10-12,11.92375,11.346,11.432875000000001,8.639708333333333,6.167125,5.206666666666667,4.705,5.05,0.087,0.8491386666666667,1820.0083333333334,16.516666666666666,119.11708333333334
cliff,2019-10-13,11.871208333333334,11.297208333333334,11.364041666666667,8.670875,6.16175,5.2025,4.722083333333334,5.05,0.087125,0.8502684166666666,1922.7125,16.7,118.93616666666667
